newton,newton@ldap.forumsys.com,Isaac Newton
tesla,tesla@ldap.forumsys.com,Nikola Tesla
galieleo,galieleo@ldap.forumsys.com,Galileo Galilei
einstein,einstein@ldap.forumsys.com,Albert Einstein
gauss,gauss@ldap.forumsys.com,Carl Friedrich Gauss
riemann,riemann@ldap.forumsys.com,Bernhard Riemann
euclid,euclid@ldap.forumsys.com,Euclid
euler,euler@ldap.forumsys.com,Leonhard Euler
galieleo,galieleo@ldap.forumsys.com,Galileo Galilei
einstein,einstein@ldap.forumsys.com,Albert Einstein
newton,newton@ldap.forumsys.com,Isaac Newton
tesla,tesla@ldap.forumsys.com,Nikola Tesla
riemann,riemann@ldap.forumsys.com,Bernhard Riemann
euclid,euclid@ldap.forumsys.com,Euclid
gauss,gauss@ldap.forumsys.com,Carl Friedrich Gauss
euler,euler@ldap.forumsys.com,Leonhard Euler
